iter	Passed	Remaining
408	4619	6674
409	4625	6656
410	4635	6643
411	4645	6629
412	4655	6616
413	4663	6601
414	4673	6588
415	4684	6576
416	4693	6561
417	4703	6548
418	4712	6534
419	4723	6522
420	4733	6509
421	4742	6495
422	4753	6483
423	4761	6468
424	4771	6455
425	4779	6440
426	4790	6428
427	4800	6416
428	4810	6402
429	4820	6389
430	4830	6376
431	4836	6359
432	4845	6345
433	4855	6332
434	4865	6320
435	4875	6306
436	4882	6290
437	4892	6277
438	4902	6264
439	4912	6251
440	4921	6237
441	4928	6222
442	4938	6209
443	4949	6198
444	4959	6184
445	4966	6169
446	4976	6156
447	4987	6144
448	4998	6133
449	5006	6119
450	5016	6106
451	5026	6094
452	5033	6077
453	5043	6065
454	5052	6052
455	5063	6040
456	5074	6029
457	5085	6018
458	5096	6007
459	5106	5994
460	5116	5981
461	5128	5971
462	5138	5959
463	5146	5944
464	5157	5933
465	5165	5918
466	5176	5908
467	5187	5896
468	5195	5881
469	5208	5873
470	5215	5857
471	5224	5843
472	5230	5828
473	5238	5813
474	5245	5798
475	5255	5785
476	5263	5771
477	5274	5759
478	5283	5746
479	5295	5736
480	5304	5723
481	5313	5710
482	5323	5698
483	5333	5685
484	5342	5672
485	5350	5659
486	5360	5646
487	5370	5634
488	5378	5620
489	5390	5610
490	5398	5596
491	5408	5584
492	5417	5571
493	5425	5557
494	5436	5546
495	5444	5532
496	5454	5520
497	5465	5509
498	5474	5496
499	5485	5485
500	5494	5472
501	5504	5460
502	5515	5449
503	5525	5437
504	5535	5425
505	5545	5414
506	5554	5400
507	5563	5388
508	5570	5373
509	5579	5360
510	5586	5345
511	5594	5332
512	5601	5317
513	5611	5305
514	5619	5291
515	5627	5278
516	5633	5263
517	5642	5249
518	5649	5235
519	5657	5221
520	5663	5207
521	5671	5193
522	5678	5179
523	5685	5164
524	5693	5151
525	5700	5136
526	5708	5123
527	5715	5108
528	5723	5095
529	5729	5080
530	5737	5067
531	5743	5052
532	5753	5040
533	5760	5026
534	5771	5016
535	5779	5002
536	5787	4989
537	5794	4975
538	5802	4962
539	5809	4948
540	5817	4935
541	5824	4921
542	5831	4908
543	5838	4894
544	5845	4879
545	5852	4866
546	5858	4852
547	5867	4839
548	5874	4825
549	5883	4813
550	5891	4800
551	5899	4788
552	5907	4775
553	5916	4763
554	5924	4750
555	5932	4737
556	5938	4723
557	5947	4710
558	5954	4697
559	5962	4685
560	5970	4671
561	5978	4659
562	5985	4645
563	5993	4633
564	6000	4619
565	6008	4607
566	6015	4594
567	6022	4580
568	6030	4567
569	6037	4554
570	6045	4542
571	6052	4528
572	6062	4517
573	6070	4505
574	6078	4492
575	6089	4482
576	6098	4470
577	6107	4459
578	6116	4447
579	6125	4435
580	6134	4424
581	6144	4413
582	6154	4401
583	6162	4389
584	6172	4378
585	6179	4365
586	6187	4353
587	6195	4340
588	6202	4328
589	6210	4315
590	6217	4302
591	6224	4290
592	6231	4276
593	6239	4264
594	6245	4251
595	6253	4238
596	6258	4224
597	6266	4212
598	6273	4199
599	6279	4186
600	6287	4174
601	6293	4160
602	6301	4148
603	6307	4135
604	6314	4122
605	6321	4110
606	6328	4097
607	6335	4084
608	6341	4071
609	6349	4059
610	6355	4046
611	6364	4034
612	6370	4021
613	6377	4009
614	6384	3996
615	6391	3984
616	6398	3971
617	6405	3959
618	6413	3947
619	6419	3934
620	6427	3922
621	6434	3910
622	6440	3897
623	6448	3885
624	6456	3873
625	6463	3861
626	6470	3849
627	6477	3837
628	6485	3825
629	6491	3812
630	6500	3801
631	6507	3788
632	6515	3777
633	6522	3765
634	6530	3753
635	6537	3741
636	6546	3730
637	6553	3718
638	6560	3706
639	6567	3694
640	6574	3682
641	6582	3670
642	6589	3658
643	6596	3646
644	6603	3634
645	6611	3622
646	6618	3611
647	6625	3599
648	6632	3587
649	6639	3575
650	6646	3563
651	6653	3551
652	6661	3539
653	6669	3528
654	6677	3516
655	6685	3505
656	6693	3494
657	6700	3482
658	6708	3471
659	6715	3459
660	6723	3448
661	6731	3436
662	6737	3424
663	6745	3413
664	6753	3402
665	6761	3391
666	6769	3379
667	6777	3368
668	6784	3356
669	6792	3345
670	6798	3333
671	6806	3322
672	6813	3310
673	6820	3298
674	6827	3287
675	6835	3276
676	6842	3264
677	6849	3252
678	6857	3241
679	6863	3229
680	6871	3218
681	6878	3207
682	6885	3195
683	6892	3184
684	6899	3172
685	6906	3161
686	6913	3149
687	6920	3138
688	6926	3126
689	6933	3114
690	6939	3103
691	6947	3092
692	6953	3080
693	6959	3068
694	6966	3057
695	6972	3045
696	6980	3034
697	6986	3022
698	6992	3011
699	7000	3000
700	7006	2988
701	7014	2977
702	7022	2966
703	7030	2956
704	7037	2944
705	7046	2934
706	7052	2922
707	7060	2911
708	7066	2900
709	7074	2889
710	7081	2878
711	7087	2867
712	7095	2856
713	7102	2845
714	7110	2834
715	7116	2822
716	7124	2812
717	7131	2800
718	7140	2790
719	7148	2779
720	7157	2769
721	7165	2758
722	7173	2748
723	7180	2737
724	7189	2727
725	7197	2716
726	7207	2706
727	7213	2695
728	7221	2684
729	7228	2673
730	7234	2662
731	7241	2651
732	7247	2640
733	7255	2629
734	7261	2618
735	7268	2607
736	7275	2596
737	7281	2585
738	7288	2574
739	7294	2563
740	7301	2552
741	7308	2541
742	7315	2530
743	7321	2519
744	7328	2508
745	7336	2497
746	7342	2486
747	7350	2476
748	7356	2465
749	7363	2454
750	7370	2443
751	7377	2432
752	7384	2422
753	7390	2411
754	7397	2400
755	7404	2389
756	7410	2378
757	7418	2368
758	7424	2357
759	7431	2346
760	7438	2335
761	7445	2325
762	7451	2314
763	7457	2303
764	7464	2293
765	7470	2282
766	7478	2271
767	7484	2260
768	7490	2250
769	7498	2239
770	7505	2229
771	7513	2218
772	7520	2208
773	7528	2198
774	7534	2187
775	7541	2176
776	7547	2166
777	7554	2155
778	7562	2145
779	7568	2134
780	7575	2124
781	7581	2113
782	7588	2103
783	7595	2092
784	7601	2082
785	7608	2071
786	7615	2061
787	7623	2051
788	7630	2040
789	7638	2030
790	7645	2020
791	7653	2009
792	7662	2000
793	7671	1990
794	7680	1980
795	7689	1970
796	7697	1960
797	7707	1950
798	7714	1940
799	7723	1930
800	7731	1920
801	7741	1911
802	7749	1901
803	7758	1891
804	7771	1882
805	7780	1872
806	7789	1862
807	7800	1853
808	7807	1843
809	7819	1834
810	7827	1824
811	7838	1814
812	7847	1804
813	7858	1795
814	7868	1786
815	7877	1776
816	7885	1766
817	7894	1756
818	7902	1746
819	7910	1736
820	7918	1726
821	7927	1716
822	7934	1706
823	7942	1696
824	7949	1686
825	7955	1675
826	7963	1665
827	7969	1655
828	7976	1645
829	7982	1634
830	7990	1624
831	7997	1614
832	8003	1604
833	8011	1594
834	8017	1584
835	8025	1574
836	8031	1564
837	8039	1554
838	8045	1543
839	8052	1533
840	8059	1523
841	8066	1513
842	8073	1503
843	8079	1493
844	8088	1483
845	8094	1473
846	8102	1463
847	8109	1453
848	8116	1443
849	8123	1433
850	8129	1423
851	8137	1413
852	8143	1403
853	8151	1393
854	8159	1383
855	8165	1373
856	8174	1363
857	8181	1354
858	8190	1344
859	8199	1334
860	8207	1325
861	8218	1315
862	8226	1305
863	8238	1296
864	8245	1286
865	8255	1277
866	8265	1267
867	8275	1258
868	8284	1248
869	8294	1239
870	8304	1229
871	8312	1220
872	8322	1210
873	8332	1201
874	8342	1191
875	8353	1182
876	8361	1172
877	8369	1163
878	8377	1153
879	8386	1143
880	8395	1134
881	8403	1124
882	8412	1114
883	8419	1104
884	8429	1095
885	8436	1085
886	8444	1075
887	8450	1065
888	8458	1056
889	8464	1046
890	8473	1036
891	8480	1026
892	8486	1016
893	8494	1007
894	8500	997
895	8508	987
896	8514	977
897	8522	968
898	8529	958
899	8536	948
900	8542	938
901	8548	928
902	8555	919
903	8562	909
904	8569	899
905	8576	889
906	8582	880
907	8590	870
908	8596	860
909	8604	850
910	8611	841
911	8619	831
912	8626	821
913	8634	812
914	8641	802
915	8649	793
916	8656	783
917	8664	773
918	8671	764
919	8677	754
920	8685	745
921	8691	735
922	8698	725
923	8705	716
924	8712	706
925	8718	696
926	8725	687
927	8732	677
928	8739	667
929	8746	658
930	8752	648
931	8759	639
932	8765	629
933	8772	619
934	8779	610
935	8786	600
936	8793	591
937	8800	581
938	8807	572
939	8814	562
940	8820	553
941	8829	543
942	8835	534
943	8843	524
944	8849	515
945	8857	505
946	8863	496
947	8869	486
948	8876	477
949	8882	467
950	8890	458
951	8897	448
952	8904	439
953	8911	429
954	8917	420
955	8924	410
956	8931	401
957	8939	391
958	8945	382
959	8951	372
960	8958	363
961	8965	354
962	8973	344
963	8979	335
964	8987	325
965	8993	316
966	8999	307
967	9006	297
968	9012	288
969	9020	278
970	9027	269
971	9035	260
972	9041	250
973	9057	241
974	9063	232
975	9072	223
976	9080	213
977	9086	204
978	9095	195
979	9102	185
980	9112	176
981	9119	167
982	9128	157
983	9136	148
984	9146	139
985	9155	129
986	9163	120
987	9170	111
988	9179	102
989	9186	92
990	9194	83
991	9201	74
992	9210	64
993	9218	55
994	9226	46
995	9233	37
996	9241	27
997	9248	18
998	9256	9
999	9263	0
